2025-10-30 09:33:58 | INFO | Planet | [Registry] Detected resource types: []
2025-10-30 09:33:58 | DEBUG | asyncio | Using selector: EpollSelector
2025-10-30 09:33:59 | DEBUG | NetworkClient | Connected to server 192.168.0.40:5000
2025-10-30 09:33:59 | INFO | Registry | [Registry] Rehydrated from network with 68 entries.
2025-10-30 09:33:59 | DEBUG | NetworkClient | ✅ Loaded registry with 68 total entries.
2025-10-30 09:33:59 | DEBUG | NetworkClient | [DEBUG] Received galaxy with 400 hexes
2025-10-30 09:34:00 | INFO | assets | [AssetManager] Loading all game icons (online_mode=True)...
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'unit_Ion Cannon' from 'assets/units/ion_canon.webp'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'unit_Ion Cannon' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'unit_Gauss Cannon' from 'assets/units/gauss_canon.jpg'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'unit_Gauss Cannon' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'unit_High-Altitude Interceptor' from 'assets/units/Interceptor.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'unit_High-Altitude Interceptor' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'unit_Planetary Garrison' from 'assets/units/planetary_garrison.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'unit_Planetary Garrison' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'planet_barren' from 'assets/planets/Barren_05-256x256.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'planet_barren' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'planet_terrestrial' from 'assets/planets/Terrestrial_05-256x256.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'planet_terrestrial' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'planet_volcanic' from 'assets/planets/Magma_05-256x256.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'planet_volcanic' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'planet_hydrogen_giant' from 'assets/planets/YellowGiant_05-256x256.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'planet_hydrogen_giant' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'planet_ionized_giant' from 'assets/planets/BlueGiant_05-256x256.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'planet_ionized_giant' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'planet_quantum_giant' from 'assets/planets/GreenGiant_05-256x256.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'planet_quantum_giant' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'planet_oceanic' from 'assets/planets/Ocean_05-256x256.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'planet_oceanic' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'planet_jungle' from 'assets/planets/Lush_05-256x256.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'planet_jungle' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'planet_symbiotic' from 'assets/planets/Tropical_05-256x256.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'planet_symbiotic' to (48, 48).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_basaltic_ore' from 'assets/icons/ore.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_basaltic_ore' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_metal_bars' from 'assets/resources/metal_bar.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_metal_bars' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_alloy' from 'assets/resources/metal_bar.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_alloy' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_quantum_alloy' from 'assets/resources/quantum_alloy.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_quantum_alloy' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_hydrogen_gas' from 'assets/icons/gas.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_hydrogen_gas' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_fuel' from 'assets/resources/hydrogen_fuel.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_fuel' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_plasma' from 'assets/resources/plasma.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_plasma' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_quantum_plasma' from 'assets/resources/quantum_plasma.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_quantum_plasma' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_water_ice' from 'assets/icons/liquid.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_water_ice' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_coolant' from 'assets/icons/liquid.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_coolant' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_cryofluid' from 'assets/icons/liquid.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_cryofluid' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_dark_coolant' from 'assets/icons/liquid.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_dark_coolant' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_biomass' from 'assets/icons/organics.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_biomass' to (32, 32).
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Loaded image 'resource_wetware' from 'assets/icons/organics.png'.
2025-10-30 09:34:00 | DEBUG | assets | [AssetManager] Scaled image 'resource_wetware' to (32, 32).
