2025-10-29 21:07:25 | INFO | Planet | [Registry] Detected resource types: []
2025-10-29 21:07:25 | DEBUG | asyncio | Using selector: EpollSelector
2025-10-29 21:07:25 | DEBUG | NetworkClient | Connected to server 192.168.0.40:5000
2025-10-29 21:07:25 | INFO | Registry | [Registry] Rehydrated from network with 66 entries.
2025-10-29 21:07:25 | DEBUG | NetworkClient | ✅ Loaded registry with 66 total entries.
2025-10-29 21:07:26 | WARNING | Defense | Unknown defense unit 'Ion Cannon' while loading PlanetDefense.
2025-10-29 21:07:26 | WARNING | Defense | Unknown defense unit 'Ion Cannon' while loading PlanetDefense.
2025-10-29 21:07:26 | DEBUG | NetworkClient | [DEBUG] Received galaxy with 400 hexes
2025-10-29 21:07:26 | INFO | assets | [AssetManager] Loading all game icons (online_mode=True)...
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'unit_Ion Cannon' from 'assets/units/ion_canon.webp'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'unit_Ion Cannon' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'unit_Gauss Cannon' from 'assets/units/gauss_canon.jpg'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'unit_Gauss Cannon' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'unit_High-Altitude Interceptor' from 'assets/units/Interceptor.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'unit_High-Altitude Interceptor' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'unit_Planetary Garrison' from 'assets/units/planetary_garrison.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'unit_Planetary Garrison' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'planet_barren' from 'assets/planets/Barren_05-256x256.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'planet_barren' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'planet_terrestrial' from 'assets/planets/Terrestrial_05-256x256.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'planet_terrestrial' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'planet_volcanic' from 'assets/planets/Magma_05-256x256.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'planet_volcanic' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'planet_hydrogen_giant' from 'assets/planets/YellowGiant_05-256x256.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'planet_hydrogen_giant' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'planet_ionized_giant' from 'assets/planets/BlueGiant_05-256x256.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'planet_ionized_giant' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'planet_quantum_giant' from 'assets/planets/GreenGiant_05-256x256.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'planet_quantum_giant' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'planet_oceanic' from 'assets/planets/Ocean_05-256x256.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'planet_oceanic' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'planet_jungle' from 'assets/planets/Lush_05-256x256.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'planet_jungle' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'planet_symbiotic' from 'assets/planets/Tropical_05-256x256.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'planet_symbiotic' to (48, 48).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'resource_basaltic_ore' from 'assets/icons/ore.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'resource_basaltic_ore' to (32, 32).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'resource_metal_bars' from 'assets/resources/metal_bar.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'resource_metal_bars' to (32, 32).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'resource_alloy' from 'assets/resources/metal_bar.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'resource_alloy' to (32, 32).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'resource_quantum_alloy' from 'assets/resources/quantum_alloy.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'resource_quantum_alloy' to (32, 32).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'resource_hydrogen_gas' from 'assets/icons/gas.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'resource_hydrogen_gas' to (32, 32).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'resource_fuel' from 'assets/resources/hydrogen_fuel.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'resource_fuel' to (32, 32).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'resource_plasma' from 'assets/resources/plasma.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'resource_plasma' to (32, 32).
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Loaded image 'resource_quantum_plasma' from 'assets/resources/quantum_plasma.png'.
2025-10-29 21:07:26 | DEBUG | assets | [AssetManager] Scaled image 'resource_quantum_plasma' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'resource_water_ice' from 'assets/icons/liquid.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'resource_water_ice' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'resource_coolant' from 'assets/icons/liquid.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'resource_coolant' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'resource_cryofluid' from 'assets/icons/liquid.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'resource_cryofluid' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'resource_dark_coolant' from 'assets/icons/liquid.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'resource_dark_coolant' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'resource_biomass' from 'assets/icons/organics.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'resource_biomass' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'resource_wetware' from 'assets/icons/organics.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'resource_wetware' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'resource_genetic_gel' from 'assets/icons/organics.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'resource_genetic_gel' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'resource_neural_symbionts' from 'assets/icons/organics.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'resource_neural_symbionts' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_plus' from 'assets/icons/plus.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'icon_plus' to (18, 18).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_disk-icon-size_32' from 'assets/icons/disk-icon-size_32.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_liquid' from 'assets/icons/liquid.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'icon_liquid' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_defense' from 'assets/icons/defense.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_mine' from 'assets/icons/mine.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_ore' from 'assets/icons/ore.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'icon_ore' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_refine' from 'assets/icons/refine.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_hammer' from 'assets/icons/hammer.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'icon_hammer' to (10, 10).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_plus_02' from 'assets/icons/plus_02.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'icon_plus_02' to (18, 18).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_gas' from 'assets/icons/gas.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'icon_gas' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_organics' from 'assets/icons/organics.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'icon_organics' to (32, 32).
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_steel_mill' from 'assets/icons/steel_mill.jpg'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_populationSmall' from 'assets/icons/populationSmall.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_star_empty' from 'assets/icons/star_empty.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_star_full' from 'assets/icons/star_full.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_coin' from 'assets/icons/coin.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_plus-box-removebg-preview' from 'assets/icons/plus-box-removebg-preview.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_industry' from 'assets/icons/industry.jpg'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_energy' from 'assets/icons/energy.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_farm' from 'assets/icons/farm.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Loaded image 'icon_moins' from 'assets/icons/moins.png'.
2025-10-29 21:07:27 | DEBUG | assets | [AssetManager] Scaled image 'icon_moins' to (18, 18).
2025-10-29 21:07:27 | INFO | assets | [AssetManager] ✅ Loaded 50 total assets.
2025-10-29 21:07:27 | INFO | assets | [GIF Loader] ⏳ Loading GIF 'planet_anim_terrestrial_1' from 'assets/planets_rotation/terrestrial/terrestrial_rotation_1.gif'
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 10 frames from 'planet_anim_terrestrial_1'...
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 20 frames from 'planet_anim_terrestrial_1'...
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 30 frames from 'planet_anim_terrestrial_1'...
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 40 frames from 'planet_anim_terrestrial_1'...
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 50 frames from 'planet_anim_terrestrial_1'...
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 60 frames from 'planet_anim_terrestrial_1'...
2025-10-29 21:07:27 | INFO | assets | [GIF Loader] ✅ Loaded 'planet_anim_terrestrial_1' (60 frames, 0.167s each) in 37.4 ms
2025-10-29 21:07:27 | INFO | assets | [GIF Loader] ⏳ Loading GIF 'planet_anim_volcanic_2' from 'assets/planets_rotation/volcanic/lava_rotation_3.gif'
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 10 frames from 'planet_anim_volcanic_2'...
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 20 frames from 'planet_anim_volcanic_2'...
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 30 frames from 'planet_anim_volcanic_2'...
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 40 frames from 'planet_anim_volcanic_2'...
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 50 frames from 'planet_anim_volcanic_2'...
2025-10-29 21:07:27 | DEBUG | assets | [GIF Loader] Decoded 60 frames from 'planet_anim_volcanic_2'...
2025-10-29 21:07:27 | INFO | assets | [GIF Loader] ✅ Loaded 'planet_anim_volcanic_2' (60 frames, 0.167s each) in 28.9 ms
